time    species    pebble_col_abundance
4000    grainC2H5    1.13694e-19
4000    grainCH2NH    9.66238e-17
4000    grainCH3N    0.00000e+00
4000    grainCHNH2    0.00000e+00
4000    grainHCO    1.90276e-13
4000    grainHOC    0.00000e+00
4000    grainN2H    0.00000e+00
4000    grainSiH    0.00000e+00
4000    grainC2H6    0.00000e+00
4000    grainCH2NH2    0.00000e+00
4000    grainCH3NH    0.00000e+00
4000    grainCHOH    0.00000e+00
4000    grainH2CO    3.16688e-12
4000    grainHOCH    0.00000e+00
4000    grainN2H2    0.00000e+00
4000    grainNO    3.08785e-15
4000    grainSiH2    0.00000e+00
4000    grainCH2OH    0.00000e+00
4000    grainCH3O    0.00000e+00
4000    grainCH5N    0.00000e+00
4000    grainHNO    2.74610e-15
4000    grainHON    0.00000e+00
4000    grainSiH3    0.00000e+00
4000    grainCH3OH    1.25530e-07
4000    grainNH2OH    0.00000e+00
4000    grainO2    2.63629e-13
4000    grainS    5.27206e-14
4000    grainHS    5.45220e-13
4000    grainS(-)    3.29997e-22
4000    grainSiH4    0.00000e+00
4000    grainO2H    4.55764e-18
4000    grainH2O2    5.53389e-30
4000    grainH2S    2.39923e-09
4000    grainCl    0.00000e+00
4000    grainC3    1.11550e-18
4000    grainHCl    0.00000e+00
4000    grainC3H    2.16635e-18
4000    grainC2N    1.86277e-17
4000    grainC3H2    3.57781e-18
4000    grainH2CCC    2.28585e-19
4000    grainC3H3    0.00000e+00
4000    grainHCCN    0.00000e+00
4000    grainC2O    4.98941e-20
4000    grainC3H4    0.00000e+00
4000    grainCH2CN    2.89680e-21
4000    grainCH3CCH    3.81317e-19
4000    grainNaOH    0.00000e+00
4000    grainSiC    0.00000e+00
4000    grainC3H5    0.00000e+00
4000    grainCH3CN    1.39437e-13
4000    grainHC2O    0.00000e+00
4000    grainHCSi    0.00000e+00
4000    grainC3H6    0.00000e+00
4000    grainCH2CO    1.00146e-15
4000    grainNH2CN    2.47357e-13
4000    grainOCN    1.68065e-15
4000    grainSiCH2    0.00000e+00
4000    grainSiN    0.00000e+00
4000    grainC3H7    0.00000e+00
4000    grainHNCO    1.16074e-16
4000    grainHNSi    0.00000e+00
4000    grainSiCH3    0.00000e+00
4000    grainC3H8    0.00000e+00
4000    grainCH3CHO    1.02960e-13
4000    grainCO2    6.28220e-06
4000    grainCS    1.55091e-15
4000    grainN2O    6.74857e-22
4000    grainSiO    0.00000e+00
4000    grainHCS    7.30758e-18
4000    grainNH2CHO    0.00000e+00
4000    grainNHNO    0.00000e+00
4000    grainC2H5OH    3.17731e-20
4000    grainCH3OCH3    3.91563e-12
4000    grainH2CS    9.93670e-16
4000    grainH2SiO    0.00000e+00
4000    grainHCOOH    4.05560e-14
4000    grainNH2NO    0.00000e+00
4000    grainNO2    1.81386e-20
4000    grainNS    4.42072e-18
4000    grainCCl    0.00000e+00
4000    grainC4    7.06586e-27
4000    grainO3    0.00000e+00
4000    grainSO    6.30455e-16
4000    grainC4H    2.36449e-22
4000    grainC3N    1.92974e-18
4000    grainC4H2    0.00000e+00
4000    grainC4H3    3.03230e-23
4000    grainClO    0.00000e+00
4000    grainHC2NC    0.00000e+00
4000    grainHC3N    4.16393e-19
4000    grainHCNC2    0.00000e+00
4000    grainHNC3    1.83491e-21
4000    grainC3O    4.71916e-18
4000    grainC4H4    0.00000e+00
4000    grainCH2CCN    0.00000e+00
4000    grainNCCN    8.89097e-16
4000    grainSiC2    0.00000e+00
4000    grainC4H5    0.00000e+00
4000    grainCH2CHCN    2.45670e-21
4000    grainHC3O    0.00000e+00
4000    grainSiC2H    0.00000e+00
4000    grainC4H6    0.00000e+00
4000    grainH2C3O    0.00000e+00
4000    grainH4C3N    0.00000e+00
4000    grainSiC2H2    0.00000e+00
4000    grainSiNC    0.00000e+00
4000    grainH5C3N    0.00000e+00
4000    grainC2S    1.16442e-21
4000    grainFe    0.00000e+00
4000    grainFeH    0.00000e+00
4000    grainC5    3.80284e-26
4000    grainHCOOCH3    4.52401e-17
4000    grainOCS    1.44593e-18
4000    grainSiO2    0.00000e+00
4000    grainSiS    0.00000e+00
4000    grainC5H    4.59899e-25
4000    grainC4N    2.66087e-26
4000    grainC5H2    1.56409e-24
4000    grainC5H3    0.00000e+00
4000    grainCH3C4H    6.86695e-25
4000    grainS2    3.83795e-19
4000    grainSO2    6.62735e-19
4000    grainCH3C3N    1.58420e-22
4000    grainHS2    1.70664e-16
4000    grainSiC3H    0.00000e+00
4000    grainH2S2    4.89835e-17
4000    grainC3S    5.74779e-25
4000    grainC6    2.51299e-27
4000    grainC6H    6.21589e-27
4000    grainC5N    5.63623e-28
4000    grainC6H2    6.17234e-27
